TE,Clades,Rank,Species,Genome
MLT1C2-int,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MLT1F,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
MLT1F2,Eutheria,4,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus,Loxodonta_africana,Orycteropus_afer","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2,LoxAfr3,OryAfe1"
L1MA10,Boreoeutheria,5,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2"
MLT1A-int,Boreoeutheria,5,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus,Felis_catus,Ailuropoda_melanoleuca,Equus_caballus,Tursiops_truncatus,Bos_taurus,Sus_scrofa,Myotis_lucifugus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2,FelCat9,AilMel1,EquCab3,TurTru2,BosTau9,SusScr11,MyoLuc2"
L1MA9,Euarchontoglires,6,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2"
LTR54,Euarchontoglires,6,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus,Rattus_norvegicus,Mus_musculus,Oryctolagus_cuniculus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3,Rn7,Mm39,OryCun2"
AluJr,Primates,7,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3"
LTR46-int,Primates,7,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3"
LTR73,Primates,7,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3"
Tigger3,Primates,7,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta,Microcebus_murinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2,MicMur3"
AluSx,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
AluSx1,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
AluSz,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
L1P4d,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
L1PBb,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
LTR1D,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
LTR26,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
LTR27E,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
LTR36,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
LTR45,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
MER4-int,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
MER4A,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
MER61F,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
THE1B,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
THE1C-int,Haplorrhini,8,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus,Carlito_syrichta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1,TarSyr2"
L1PA7,Simiiformes,9,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1"
L1PBa,Simiiformes,9,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta,Cebus_capucinus","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10,CebCap1"
AluY,Catarrhini,10,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10"
HERV3-int,Catarrhini,10,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10"
HERV9NC-int,Catarrhini,10,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10"
HERVIP10FH-int,Catarrhini,10,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii,Nomascus_leucogenys,Macaca_mulatta","Hg38,PanTro6,GorGor5,PonAbe3,NomLeu3,RheMac10"
L1PA3,Homininae,11,"Homo_sapiens,Pan_troglodytes,Gorilla_gorilla,Pongo_abelii","Hg38,PanTro6,GorGor5,PonAbe3"
AluYg6,Homo sapiens,12,Homo_sapiens,Hg38
AluYk11,Homo sapiens,12,Homo_sapiens,Hg38
